date,time,longitude,latitude,aqi,co,no,no2,so2,o3,pm2_5,pm10,nh3
2020-11-25,08:00:00,100.531,13.7625,5,3524.78,87.62,52.78,50.55,0.96,71.93,127.34,28.88
2020-11-25,09:00:00,100.531,13.7625,5,4272.46,105.5,56.89,58.17,3.13,78.78,147.39,36.99
2020-11-25,10:00:00,100.531,13.7625,5,4165.65,88.51,78.83,72.48,12.88,87.54,174.13,49.65
2020-11-25,11:00:00,100.531,13.7625,5,2109.53,14.75,80.88,57.22,27.54,59.83,116.86,37.49
2020-11-25,12:00:00,100.531,13.7625,4,1495.36,6.76,58.26,43.39,33.26,44.49,87.32,28.12
2020-11-25,13:00:00,100.531,13.7625,4,1188.28,3.74,42.84,31.95,46.49,36.34,71.75,21.28
2020-11-25,14:00:00,100.531,13.7625,4,1121.52,4.14,39.07,29.8,52.93,32.22,61.67,20.01
2020-11-25,15:00:00,100.531,13.7625,4,1201.63,5.48,42.16,32.9,58.65,31.55,60.39,22.04
2020-11-25,16:00:00,100.531,13.7625,4,1281.74,5.64,45.93,34.33,60.8,30.61,60.09,23.05
2020-11-25,17:00:00,100.531,13.7625,4,2456.67,19.67,78.83,46.25,25.03,39.82,77.44,29.64
2020-11-25,18:00:00,100.531,13.7625,5,4165.65,64.37,90.48,57.7,1.4,54.23,103.04,36.99
2020-11-25,19:00:00,100.531,13.7625,5,4966.74,95.67,85.68,62.94,0.0,67.08,120.11,42.05
2020-11-25,20:00:00,100.531,13.7625,5,5287.17,109.08,82.25,59.61,0.0,82.09,139.34,44.08
2020-11-25,21:00:00,100.531,13.7625,5,5767.82,123.38,78.83,56.27,0.0,102.07,170.01,44.58
2020-11-25,22:00:00,100.531,13.7625,5,6034.85,135.9,74.03,54.36,0.0,122.23,204.11,42.05
2020-11-25,23:00:00,100.531,13.7625,5,6248.47,148.42,67.86,52.93,0.0,132.13,222.36,36.48
2020-11-26,00:00:00,100.531,13.7625,5,5821.23,143.05,62.38,46.25,0.0,117.72,206.08,28.37
2020-11-26,01:00:00,100.531,13.7625,5,4913.33,119.81,55.52,39.1,0.0,102.33,184.23,23.31
2020-11-26,02:00:00,100.531,13.7625,5,4112.24,100.14,50.72,36.24,0.0,96.86,165.86,21.28
2020-11-26,03:00:00,100.531,13.7625,5,3311.16,81.36,48.67,35.29,0.0,90.65,147.57,20.77
2020-11-26,04:00:00,100.531,13.7625,5,2616.88,62.59,49.35,35.29,0.0,81.51,129.52,21.53
2020-11-26,05:00:00,100.531,13.7625,5,2002.72,43.36,51.41,36.72,0.0,67.81,111.09,22.8
2020-11-26,06:00:00,100.531,13.7625,5,2082.82,47.39,52.09,40.05,0.0,68.63,114.22,23.31
2020-11-26,07:00:00,100.531,13.7625,5,3231.05,81.36,54.15,49.59,0.12,86.08,138.67,26.85
2020-11-26,08:00:00,100.531,13.7625,5,5180.36,134.11,57.58,57.7,1.83,105.01,169.3,30.65
2020-11-26,09:00:00,100.531,13.7625,5,6088.26,148.42,71.29,62.94,6.44,111.35,188.82,37.49
2020-11-26,10:00:00,100.531,13.7625,5,5661.01,98.35,120.64,70.57,26.11,123.76,214.46,46.1
2020-11-26,11:00:00,100.531,13.7625,5,2136.23,13.08,73.34,55.79,118.73,82.23,144.34,35.97
2020-11-26,12:00:00,100.531,13.7625,5,1415.25,5.25,43.18,39.58,145.91,60.33,103.98,26.35
2020-11-26,13:00:00,100.531,13.7625,4,1108.17,3.47,31.53,29.56,134.47,42.46,76.23,20.77
2020-11-26,14:00:00,100.531,13.7625,4,1068.12,3.55,32.56,28.37,121.59,35.84,63.24,19.76
2020-11-26,15:00:00,100.531,13.7625,4,1161.58,3.97,37.7,31.47,121.59,35.78,62.67,21.53
2020-11-26,16:00:00,100.531,13.7625,4,1228.33,3.86,42.5,32.42,111.58,33.95,61.29,22.04
2020-11-26,17:00:00,100.531,13.7625,4,2750.4,15.2,94.59,42.92,42.2,43.3,79.37,27.36
2020-11-26,18:00:00,100.531,13.7625,5,4966.74,73.31,105.56,54.84,1.03,59.27,108.64,34.45
2020-11-26,19:00:00,100.531,13.7625,5,5981.45,119.81,87.05,60.56,0.0,74.31,132.3,40.53
2020-11-26,20:00:00,100.531,13.7625,5,5233.76,109.97,71.97,53.88,0.0,75.56,136.64,40.03
2020-11-26,21:00:00,100.531,13.7625,5,3738.4,72.42,58.95,42.92,0.0,62.51,118.86,35.47
2020-11-26,22:00:00,100.531,13.7625,5,2670.29,45.6,52.09,36.72,0.0,51.34,101.17,31.92
2020-11-26,23:00:00,100.531,13.7625,4,2189.64,33.08,48.67,33.85,0.0,43.54,89.67,29.89
2020-11-27,00:00:00,100.531,13.7625,4,2082.82,31.74,47.3,30.52,0.0,40.68,85.01,27.61
2020-11-27,01:00:00,100.531,13.7625,4,1789.09,25.93,45.24,27.9,0.0,39.22,80.39,24.57
2020-11-27,02:00:00,100.531,13.7625,4,1562.12,23.25,46.61,29.56,0.01,41.06,79.07,22.8
